Name,Label,Domain,Range,URI,Count
dc:title,title,owl:Thing,xsd:string,http://dbpedia.org/ontology/dc:title,0
dc:type,type (literal),owl:Thing,xsd:string,http://dbpedia.org/ontology/dc:type,0
dct:created,Date or range when this object was created,owl:Thing,xsd:string,http://dbpedia.org/ontology/dct:created,0
dct:dateSubmitted,date submitted,owl:Thing,xsd:date,http://dbpedia.org/ontology/dct:dateSubmitted,0
dct:description,Description,owl:Thing,rdf:langString,http://dbpedia.org/ontology/dct:description,0
dct:extent,medium,owl:Thing,xsd:string,http://dbpedia.org/ontology/dct:extent,0
dct:format,format (literal),owl:Thing,xsd:string,http://dbpedia.org/ontology/dct:format,0
dct:medium,medium,owl:Thing,xsd:string,http://dbpedia.org/ontology/dct:medium,0
dct:modified,modified,owl:Thing,xsd:date,http://dbpedia.org/ontology/dct:modified,0
dct:spatial,spatial,owl:Thing,owl:Thing,http://dbpedia.org/ontology/dct:spatial,0
dct:subject,subject,owl:Thing,owl:Thing,http://dbpedia.org/ontology/dct:subject,0
dct:temporal,temporal,owl:Thing,owl:Thing,http://dbpedia.org/ontology/dct:temporal,0
dct:type,type,owl:Thing,owl:Thing,http://dbpedia.org/ontology/dct:type,0
deFactoLanguage,de facto language,owl:Thing,Language,http://dbpedia.org/ontology/deFactoLanguage,0
deaths,Deaths,owl:Thing,Disease,http://dbpedia.org/ontology/deaths,0
deliveryDate,delivery date,owl:Thing,xsd:date,http://dbpedia.org/ontology/deliveryDate,39
demonym,demonym,owl:Thing,rdf:langString,http://dbpedia.org/ontology/demonym,6994
density,density,owl:Thing,Density,http://dbpedia.org/ontology/density,125
depictionDescription,depiction description (caption),owl:Thing,rdf:langString,http://dbpedia.org/ontology/depictionDescription,3385
depth,depth,Place,Length,http://dbpedia.org/ontology/depth,1399
depthQuote,depth quote,Place,xsd:string,http://dbpedia.org/ontology/depthQuote,0
depths,depths,Place,Depth,http://dbpedia.org/ontology/depths,0
deputy,deputy,owl:Thing,Person,http://dbpedia.org/ontology/deputy,3631
description,description,owl:Thing,rdf:langString,http://dbpedia.org/ontology/description,12947
designCompany,designer company,owl:Thing,Company,http://dbpedia.org/ontology/designCompany,1775
designer,designer,owl:Thing,Person,http://dbpedia.org/ontology/designer,10380
destructionDate,destruction date,owl:Thing,xsd:date,http://dbpedia.org/ontology/destructionDate,69
developer,developer,owl:Thing,Agent,http://dbpedia.org/ontology/developer,27978
diameter,diameter,owl:Thing,Length,http://dbpedia.org/ontology/diameter,2731
diocese,diocese,owl:Thing,Diocese,http://dbpedia.org/ontology/diocese,10436
discoverer,discoverer,owl:Thing,Person,http://dbpedia.org/ontology/discoverer,3828
disease,disease,owl:Thing,Disease,http://dbpedia.org/ontology/disease,28
distance,distance,owl:Thing,Length,http://dbpedia.org/ontology/distance,1578
distributor,distributor,owl:Thing,Organisation,http://dbpedia.org/ontology/distributor,80302
district,district,Place,PopulatedPlace,http://dbpedia.org/ontology/district,33959
division,division,owl:Thing,owl:Thing,http://dbpedia.org/ontology/division,17847
documentDesignation,String designation of the WrittenWork describing the resource,owl:Thing,xsd:string,http://dbpedia.org/ontology/documentDesignation,0
dose,Dose,owl:Thing,xsd:integer,http://dbpedia.org/ontology/dose,0
dosesFirst,DosesFirst,owl:Thing,xsd:integer,http://dbpedia.org/ontology/dosesFirst,0
dosesSecond,DosesSecond,owl:Thing,xsd:integer,http://dbpedia.org/ontology/dosesSecond,0
draft,draft,owl:Thing,xsd:string,http://dbpedia.org/ontology/draft,10798
draftYear,draft year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/draftYear,32637
drug,Drug,owl:Thing,rdf:langString,http://dbpedia.org/ontology/drug,0
drugbank,DrugBank,owl:Thing,xsd:string,http://dbpedia.org/ontology/drugbank,2431
duration,duration,owl:Thing,Time,http://dbpedia.org/ontology/duration,98
dynasty,dynasty,owl:Thing,owl:Thing,http://dbpedia.org/ontology/dynasty,0
eastPlace,east place,Place,Place,http://dbpedia.org/ontology/eastPlace,0
editor,editor,owl:Thing,Agent,http://dbpedia.org/ontology/editor,6088
einecsNumber,EINECS number,owl:Thing,xsd:string,http://dbpedia.org/ontology/einecsNumber,0
electionMajority,election majority,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/electionMajority,54
elementAbove,element above,owl:Thing,ChemicalSubstance,http://dbpedia.org/ontology/elementAbove,0
elevation,elevation,Place,Length,http://dbpedia.org/ontology/elevation,225985
elevationQuote,elevation quote,Place,xsd:string,http://dbpedia.org/ontology/elevationQuote,0
endOccupation,end occupation,owl:Thing,xsd:string,http://dbpedia.org/ontology/endOccupation,0
endPoint,end point,Place,Place,http://dbpedia.org/ontology/endPoint,0
endYear,end year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/endYear,0
endangeredSince,endangered since,Place,xsd:date,http://dbpedia.org/ontology/endangeredSince,0
engineer,engineer,owl:Thing,Person,http://dbpedia.org/ontology/engineer,102
era,era,owl:Thing,owl:Thing,http://dbpedia.org/ontology/era,1867
ethnicGroupsInYear,ethnic groups in year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/ethnicGroupsInYear,3
event,event,owl:Thing,Event,http://dbpedia.org/ontology/event,2027
eventDate,event date,Place,xsd:date,http://dbpedia.org/ontology/eventDate,0
executiveProducer,executive producer,owl:Thing,Person,http://dbpedia.org/ontology/executiveProducer,11057
exhibition,exhibition,owl:Thing,xsd:string,http://dbpedia.org/ontology/exhibition,0
existence,existence,owl:Thing,owl:Thing,http://dbpedia.org/ontology/existence,0
extinctionDate,extinction date,owl:Thing,xsd:date,http://dbpedia.org/ontology/extinctionDate,0
failedLaunches,failed launches,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/failedLaunches,222
fauna,fauna,Place,xsd:string,http://dbpedia.org/ontology/fauna,0
fdaUniiCode,FDA UNII code,owl:Thing,xsd:string,http://dbpedia.org/ontology/fdaUniiCode,6406
feastDay,"feast day, holiday",owl:Thing,xsd:date,http://dbpedia.org/ontology/feastDay,51
fighter,fighter,owl:Thing,xsd:string,http://dbpedia.org/ontology/fighter,0
filmPolskiId,FilmPolski.pl id,owl:Thing,xsd:string,http://dbpedia.org/ontology/filmPolskiId,0
firstLeader,firstLeader,owl:Thing,Person,http://dbpedia.org/ontology/firstLeader,5041
firstOwner,first owner,owl:Thing,Agent,http://dbpedia.org/ontology/firstOwner,0
firstPlace,first place,owl:Thing,xsd:string,http://dbpedia.org/ontology/firstPlace,0
firstPopularVote,firstPopularVote,owl:Thing,Person,http://dbpedia.org/ontology/firstPopularVote,45
flag,flag (image),owl:Thing,xsd:string,http://dbpedia.org/ontology/flag,0
flagBorder,flag border,owl:Thing,xsd:string,http://dbpedia.org/ontology/flagBorder,0
flagLink,flag Link,owl:Thing,xsd:string,http://dbpedia.org/ontology/flagLink,0
floodingDate,flooding date,owl:Thing,xsd:date,http://dbpedia.org/ontology/floodingDate,27
flora,flora,Place,xsd:string,http://dbpedia.org/ontology/flora,0
flower,flower,Place,Species,http://dbpedia.org/ontology/flower,0
foaf:based_near,based near,owl:Thing,owl:Thing,http://dbpedia.org/ontology/foaf:based_near,0
