Name,Label,Domain,Range,URI,Count
ndlId,NDL id,owl:Thing,xsd:string,http://dbpedia.org/ontology/ndlId,26
nearestCity,nearest city,Place,PopulatedPlace,http://dbpedia.org/ontology/nearestCity,18022
newspaper,newspaper,owl:Thing,PeriodicalLiterature,http://dbpedia.org/ontology/newspaper,1
nlaId,NLA Id,owl:Thing,xsd:string,http://dbpedia.org/ontology/nlaId,18
nominee,nominee,owl:Thing,Person,http://dbpedia.org/ontology/nominee,18
notableWork,notable work,owl:Thing,Work,http://dbpedia.org/ontology/notableWork,5954
notes,notes,owl:Thing,xsd:string,http://dbpedia.org/ontology/notes,516
number,number,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/number,89441
numberOfVisitors,number of visitors,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/numberOfVisitors,2039
occupation,occupation,owl:Thing,PersonFunction,http://dbpedia.org/ontology/occupation,293862
office,(political) office,owl:Thing,xsd:string,http://dbpedia.org/ontology/office,220717
openingDate,opening date,owl:Thing,xsd:date,http://dbpedia.org/ontology/openingDate,37980
openingYear,opening year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/openingYear,53121
operator,operator,owl:Thing,owl:Thing,http://dbpedia.org/ontology/operator,22766
orbits,orbits,owl:Thing,xsd:integer,http://dbpedia.org/ontology/orbits,1
orcidId,ORCID Id,owl:Thing,xsd:string,http://dbpedia.org/ontology/orcidId,89
orderInOffice,order in office,owl:Thing,xsd:string,http://dbpedia.org/ontology/orderInOffice,8425
organisation,organisation,owl:Thing,Organisation,http://dbpedia.org/ontology/organisation,501
origin,origin,owl:Thing,PopulatedPlace,http://dbpedia.org/ontology/origin,10790
originalName,original name,owl:Thing,rdf:langString,http://dbpedia.org/ontology/originalName,143654
originallyUsedFor,originally used for,owl:Thing,xsd:string,http://dbpedia.org/ontology/originallyUsedFor,61
owner,owner,owl:Thing,Agent,http://dbpedia.org/ontology/owner,75264
owningCompany,owning company,owl:Thing,Company,http://dbpedia.org/ontology/owningCompany,12936
owningOrganisation,owning organisation,owl:Thing,Organisation,http://dbpedia.org/ontology/owningOrganisation,19563
parentCompany,parent company,owl:Thing,Company,http://dbpedia.org/ontology/parentCompany,15298
part,part,owl:Thing,owl:Thing,http://dbpedia.org/ontology/part,4018
partialFailedLaunches,partial failed launches,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/partialFailedLaunches,92
party,party,owl:Thing,PoliticalParty,http://dbpedia.org/ontology/party,128760
patronSaint,patron saint,owl:Thing,Person,http://dbpedia.org/ontology/patronSaint,406
percentageOfAreaWater,percentage of area water,owl:Thing,xsd:float,http://dbpedia.org/ontology/percentageOfAreaWater,10392
picture,picture,owl:Thing,owl:Thing,http://dbpedia.org/ontology/picture,4219
place,Relates an entity to the populated place in which it is located.,owl:Thing,PopulatedPlace,http://dbpedia.org/ontology/place,16679
politicalLeader,political leader,Place,PersonFunction,http://dbpedia.org/ontology/politicalLeader,67019
populationTotal,population total,owl:Thing,xsd:nonNegativeInteger,http://dbpedia.org/ontology/populationTotal,317577
portfolio,portfolio,owl:Thing,xsd:string,http://dbpedia.org/ontology/portfolio,278
position,position,owl:Thing,owl:Thing,http://dbpedia.org/ontology/position,307787
postalCode,postal code,owl:Thing,xsd:string,http://dbpedia.org/ontology/postalCode,216510
predecessor,predecessor,owl:Thing,owl:Thing,http://dbpedia.org/ontology/predecessor,215981
president,president,owl:Thing,Person,http://dbpedia.org/ontology/president,30535
primeMinister,prime minister,owl:Thing,Person,http://dbpedia.org/ontology/primeMinister,28726
productionEndDate,production end date,owl:Thing,xsd:date,http://dbpedia.org/ontology/productionEndDate,22
productionEndYear,production end year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/productionEndYear,10212
productionStartDate,production start date,owl:Thing,xsd:date,http://dbpedia.org/ontology/productionStartDate,33
productionStartYear,production start year,owl:Thing,xsd:gYear,http://dbpedia.org/ontology/productionStartYear,13055
prominence,prominence,owl:Thing,Length,http://dbpedia.org/ontology/prominence,9185
pronunciation,pronunciation,owl:Thing,xsd:string,http://dbpedia.org/ontology/pronunciation,71
province,province,Place,Province,http://dbpedia.org/ontology/province,14478
publicationDate,publication date,owl:Thing,xsd:date,http://dbpedia.org/ontology/publicationDate,5066
purpose,purpose,owl:Thing,xsd:string,http://dbpedia.org/ontology/purpose,9504
quote,quote,Place,xsd:string,http://dbpedia.org/ontology/quote,735
race,race,owl:Thing,Race,http://dbpedia.org/ontology/race,5844
raceHorse,race horse,owl:Thing,Horse,http://dbpedia.org/ontology/raceHorse,945
rating,rating,owl:Thing,xsd:float,http://dbpedia.org/ontology/rating,260
rebuildDate,rebuild date,owl:Thing,xsd:date,http://dbpedia.org/ontology/rebuildDate,7
recordLabel,record label,owl:Thing,RecordLabel,http://dbpedia.org/ontology/recordLabel,107946
region,region,owl:Thing,Place,http://dbpedia.org/ontology/region,21787
registry,registry,owl:Thing,xsd:string,http://dbpedia.org/ontology/registry,355
related,related,owl:Thing,owl:Thing,http://dbpedia.org/ontology/related,9839
releaseDate,release date,owl:Thing,xsd:date,http://dbpedia.org/ontology/releaseDate,135968
religion,religion,owl:Thing,owl:Thing,http://dbpedia.org/ontology/religion,22301
religiousHead,religious head,owl:Thing,Person,http://dbpedia.org/ontology/religiousHead,52
restoreDate,restore date,owl:Thing,xsd:date,http://dbpedia.org/ontology/restoreDate,40
restriction,restriction,owl:Thing,xsd:string,http://dbpedia.org/ontology/restriction,337
retired,retired,owl:Thing,xsd:date,http://dbpedia.org/ontology/retired,238
ridId,RID Id,owl:Thing,xsd:string,http://dbpedia.org/ontology/ridId,2
river,river,Place,River,http://dbpedia.org/ontology/river,2371
role,role,owl:Thing,xsd:string,http://dbpedia.org/ontology/role,10792
runningMate,running mate,owl:Thing,Person,http://dbpedia.org/ontology/runningMate,9
sales,sales,owl:Thing,Sales,http://dbpedia.org/ontology/sales,206
secondLeader,secondLeader,owl:Thing,Person,http://dbpedia.org/ontology/secondLeader,4501
secondPopularVote,secondPopularVote,owl:Thing,Person,http://dbpedia.org/ontology/secondPopularVote,57
selibrId,SELIBR Id,owl:Thing,xsd:string,http://dbpedia.org/ontology/selibrId,5
seniority,seniority,owl:Thing,xsd:string,http://dbpedia.org/ontology/seniority,1629
series,series,owl:Thing,owl:Thing,http://dbpedia.org/ontology/series,21198
show,show,owl:Thing,TelevisionShow,http://dbpedia.org/ontology/show,2
similar,similar,owl:Thing,owl:Thing,http://dbpedia.org/ontology/similar,605
slogan,slogan,owl:Thing,rdf:langString,http://dbpedia.org/ontology/slogan,16779
soundRecording,sound recording,owl:Thing,Sound,http://dbpedia.org/ontology/soundRecording,9999
